Searched,Title,Authors,Published,Type,Include?,Exclusion code,Database,Source
10/02/2018,Building Smart Communities with Cyber-Physical Systems,Feng Xia,2011-12-31T03:19:14Z,-,,,arXiv,http://arxiv.org/abs/1201.0216v1
10/02/2018,Emergence of scaling in human-interest dynamics,Zhi-Dan Zhao,2013-07-30T03:32:29Z,-,,,arXiv,http://arxiv.org/abs/1307.7796v1
10/02/2018,Impossibility of deducing preferences and rationality from human policy,Stuart Armstrong,2017-12-15T19:05:01Z,-,,,arXiv,http://arxiv.org/abs/1712.05812v2
10/02/2018,Using consumer behavior data to reduce energy consumption in smart homes,Daniel Schweizer,2015-10-01T09:49:45Z,-,,,arXiv,http://arxiv.org/abs/1510.00165v1
10/02/2018,A Study of Vision based Human Motion Recognition and Analysis,Geetanjali Vinayak Kale,2016-08-24T09:23:14Z,-,,,arXiv,http://arxiv.org/abs/1608.06761v1
10/02/2018,"Inverse Reinforcement Learning with Multi-Relational Chains for
  Robot-Centered Smart Home",Kun Li,2014-08-16T09:20:47Z,-,,,arXiv,http://arxiv.org/abs/1408.3727v5
10/02/2018,Composition of Management System for Smart Homes,Mark Sh. Levin,2011-03-20T11:38:19Z,-,,,arXiv,http://arxiv.org/abs/1103.3844v1
10/02/2018,System Design of Internet-of-Things for Residential Smart Grid,Sanjana Kadaba Viswanath,2016-04-14T01:38:19Z,-,,,arXiv,http://arxiv.org/abs/1604.04009v1
10/02/2018,How will the Internet of Things enable Augmented Personalized Health?,Amit Sheth,2017-12-31T21:18:16Z,-,,,arXiv,http://arxiv.org/abs/1801.00356v1
10/02/2018,Imitating Driver Behavior with Generative Adversarial Networks,Alex Kuefler,2017-01-24T00:59:42Z,-,,,arXiv,http://arxiv.org/abs/1701.06699v1
10/02/2018,Android based security and home automation system,Sadeque Reza Khan,2015-03-28T06:06:55Z,-,,,arXiv,http://arxiv.org/abs/1504.03564v1
10/02/2018,"Spying on the Smart Home: Privacy Attacks and Defenses on Encrypted IoT
  Traffic",Noah Apthorpe,2017-08-16T19:20:57Z,-,,,arXiv,http://arxiv.org/abs/1708.05044v1
10/02/2018,"Learning Periodic Human Behaviour Models from Sparse Data for
  Crowdsourcing Aid Delivery in Developing Countries",James McInerney,2013-09-26T12:44:36Z,-,,,arXiv,http://arxiv.org/abs/1309.6846v1
10/02/2018,A Survey of Question Answering for Math and Science Problem,Arindam Bhattacharya,2017-05-10T15:28:37Z,-,,,arXiv,http://arxiv.org/abs/1705.04530v1
10/02/2018,Proposal of a multiagent-based smart environment for the IoT,Radoslaw Klimek,2014-04-06T21:03:45Z,-,,,arXiv,http://arxiv.org/abs/1404.1621v3
10/02/2018,"Modern Physiognomy: An Investigation on Predicting Personality Traits
  and Intelligence from the Human Face",Rizhen Qin,2016-04-26T02:58:08Z,-,,,arXiv,http://arxiv.org/abs/1604.07499v1
10/02/2018,"A Scenario-Based Mobile Application for Robot-Assisted Smart Digital
  Homes",Ali Reza Manashty,2010-09-27T20:58:05Z,-,,,arXiv,http://arxiv.org/abs/1009.5398v1
10/02/2018,"Design and Management of Vehicle Sharing Systems: A Survey of
  Algorithmic Approaches",Damianos Gavalas,2015-10-05T14:02:52Z,-,,,arXiv,http://arxiv.org/abs/1510.01158v1
10/02/2018,A Multi-Purpose Scenario-based Simulator for Smart House Environments,Zahra Forootan Jahromi,2011-05-14T15:11:00Z,-,,,arXiv,http://arxiv.org/abs/1105.2902v1
10/02/2018,"Online Learning Algorithm for Time Series Forecasting Suitable for Low
  Cost Wireless Sensor Networks Nodes",Juan Pardo,2015-04-21T17:31:41Z,-,,,arXiv,http://arxiv.org/abs/1504.05517v1
10/02/2018,Proactive Data Download and User Demand Shaping for Data Networks,John Tadrous,2013-04-21T15:02:21Z,-,,,arXiv,http://arxiv.org/abs/1304.5745v2
